route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
3633,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,ff8af49e-dde8-4027-9d9d-0199a3682513,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,fdd8b3da-0c81-4e7c-8201-2904eb78dcb0
3633,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,8a8e9162-f92f-4246-adad-39e51e63012a,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,7e0b5c46-7782-425a-bb4f-5f1f187edb10
3633,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,daa32f79-4203-48af-9393-d55a71c4b0d6,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,7f9096d9-26e0-4893-86bd-1ef5ea3437f3
3633,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,bb335795-5a49-41a5-a8aa-16263843fb39,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,b10d7f3e-cd33-4f37-8a56-b4cba9baf0cb
3633,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,c4738453-36c8-4533-a285-53b5295787d3,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,005bc84f-98b6-49d3-bbdd-8fc4bf0398cb
3633,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,23521802-ba0e-4b77-a528-c784b4dc5110,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,e395deef-6be9-4aab-99d2-7babeeb03a37
3645,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,9bd0e772-95aa-4636-9b62-c9190d88d368,ea2a3a05-103e-4427-b5e8-2d6ff96c5f62,Hillsborough,0,93b3a623-0d6f-440f-937a-4fe572d5fd25
3629,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,a4aeb6f3-63e9-4901-9dd8-14d29e12ad44,e147fd6a-4bbc-40a7-8935-55cf83b10823,Regional Transit Center,1,d30b8488-62c5-4dc1-b161-5996c2ad6110
3640,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,d2dab5e6-545c-4e80-9999-f9d21ba79a96,eed96e3c-7e78-4c6a-a7f7-9b63d0dea14b,Raleigh Union Stn,0,a3b45929-29b9-49fd-9e93-3409c8f681a0
3631,0ebae99b-1ac5-466d-b0be-22f06dd11455,b5b493ff-e81b-4007-8ec4-ba9ce2c889a3,af07a6b6-3205-42a7-b7de-20664c333802,Raleigh,0,656b799a-1fc8-49d9-a815-bed17867b65e
3631,0ebae99b-1ac5-466d-b0be-22f06dd11455,20ee4a39-fa5e-4426-97ad-db83ae69b223,af07a6b6-3205-42a7-b7de-20664c333802,Raleigh,0,b9728228-eaee-400f-b82a-45ebdb1c7c33
3633,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,4343dada-3cc3-4940-b001-ea13136f2a74,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,012adef6-6356-4dd4-8cd2-5b03bf8db6a2
3635,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,34cc10bd-cd52-4b33-bbf6-3bc09f809ee0,af1a36b8-6260-43db-a91f-010e01560b10,Durham Station,1,a4dafdef-6670-486b-a5f1-393305c06585
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,2a69c803-14cc-41fc-a9b5-f174b6e8f0d7,a44abbb3-64a4-4e30-ad57-5da05aa9e17c,Regional Transit Center,0,7f9096d9-26e0-4893-86bd-1ef5ea3437f3
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,6978a21b-a805-423e-b9bb-15c7478ccfdd,a44abbb3-64a4-4e30-ad57-5da05aa9e17c,Regional Transit Center,0,b10d7f3e-cd33-4f37-8a56-b4cba9baf0cb
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,a95a3a20-6dcd-4ff1-ac4f-02809f4c1cf9,a44abbb3-64a4-4e30-ad57-5da05aa9e17c,Regional Transit Center,0,fdd8b3da-0c81-4e7c-8201-2904eb78dcb0
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,16f3c307-b5b9-44a2-97b3-938978ba7176,a44abbb3-64a4-4e30-ad57-5da05aa9e17c,Regional Transit Center,0,c87cfb0c-c811-4cee-9635-d28a4ef08b4c
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,fd3e000c-b9a9-4a53-b8bd-9040fa43effd,a44abbb3-64a4-4e30-ad57-5da05aa9e17c,Regional Transit Center,0,8b29c1c7-da7f-44a9-b26b-c42a70fc81e0
3636,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,b929fbc9-9602-40a7-ad91-c4c186515e45,a44abbb3-64a4-4e30-ad57-5da05aa9e17c,Regional Transit Center,0,12ada6b0-b3ad-42c3-a891-944fbd11b0fc
