shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.93643,-79.026869,414,19744.6
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.936319,-79.02704,415,19764.32
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.963099,-78.963369,229,10362.23
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.96289,-78.96317,230,10391.55
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.962659,-78.962929,231,10425.15
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.91781,-79.040549,496,22274.94
3b9e3c41-0625-42c5-a778-8350e5a21382,35.963999,-78.959789,456,16035.29
3b9e3c41-0625-42c5-a778-8350e5a21382,35.963759,-78.9594,457,16079.28
3b9e3c41-0625-42c5-a778-8350e5a21382,35.96343993,-78.95972458,458,16125.21
3b9e3c41-0625-42c5-a778-8350e5a21382,35.999137,-78.952677,551,21233.61
3b9e3c41-0625-42c5-a778-8350e5a21382,35.96279355,-78.96035206,460,16218.36
3b9e3c41-0625-42c5-a778-8350e5a21382,35.962759,-78.96038,461,16222.95
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.94418,-79.05794,587,23983.25
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.943579,-79.05782,588,24050.9
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.941689,-79.05745,589,24263.54
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.9503,-79.05835,565,23297.67
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.97118,-79.06272,491,20862.23
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.97101,-79.06262,492,20883.15
ecf4faf7-0683-4910-a28f-40a7e79519cf,35.939919,-78.845109,276,10595.76
3b9e3c41-0625-42c5-a778-8350e5a21382,35.96262,-78.96052,462,16242.88
3b9e3c41-0625-42c5-a778-8350e5a21382,35.96252,-78.96062,463,16257.18
3b9e3c41-0625-42c5-a778-8350e5a21382,35.962329,-78.960819,464,16284.94
3b9e3c41-0625-42c5-a778-8350e5a21382,35.96216,-78.960989,465,16309.16
3b9e3c41-0625-42c5-a778-8350e5a21382,35.961759,-78.961389,466,16366.43
3b9e3c41-0625-42c5-a778-8350e5a21382,35.935859,-79.027859,285,7783.24
3b9e3c41-0625-42c5-a778-8350e5a21382,35.936009,-79.02758,286,7813.37
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.023789,-79.07923,402,14627.16
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.024769,-79.07942,403,14737.39
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.025559,-79.07959,404,14826.49
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.040707,-79.091865,435,17283.02
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.028612427738,-79.0802089812384,406,15170.86
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.9484,-78.99265,350,15585.2
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.98557,-78.9581,187,7735.68
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.984879,-78.9581,188,7812.46
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.984649,-78.9581,189,7838.02
