stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
12689,1411,S Main St at Rex Hospital (NB),,35.64272,-78.833,0,1
12135,1235,Main St at Center St (NB),,35.650752,-78.83355,0,1
12864,2081,Main St at Holly Springs Rd (NB),,35.655992,-78.834499,0,0
12866,2083,Main St at Cayman St (NB),,35.66123,-78.83585,0,0
12137,1183,Apex Peakway at Hughes St (WB),,35.71749,-78.84457,0,1
1599,1169,Hughes St at Estate Dr (NB),,35.720356,-78.85023,0,1
1583,1450,Hughes St at Williams St (NB),,35.726431,-78.851223,0,1
1601,1167,Chatham St at Mason St (EB),,35.729243,-78.84796,0,1
1585,1452,Mason St at Old Mill Village Dr (NB) Apex Town Hal,,35.732821,-78.845484,0,1
1604,1165,Laura Duncan Rd at Apex Peakway (NB),,35.735576,-78.843045,0,1
1605,1163,Laura Duncan Rd at US 64 (NB),,35.74678,-78.83574,0,1
1610,1345,Tryon Rd at Kildaire Farm Rd (EB),,35.738251,-78.782395,0,1
1743,1267,Tryon Rd at SE Cary Pkwy (EB),,35.743611,-78.761856,0,1
1746,1320,Piney Plains Rd at Tryon Rd (EB),,35.747795,-78.753595,0,1
1748,1322,Piney Plains Rd at Scarlet Sky Ln (EB),,35.749759,-78.752668,0,1
1764,1295,Dillard Dr at Piney Plains Rd (EB),,35.75566,-78.748423,0,1
11641,1913,Dillard Dr at Meeting St (EB),,35.755996,-78.743611,0,1
1775,1269,Dillard Dr at Walnut St (EB),,35.755416,-78.73969,0,1
1778,1270,Dillard Dr at Corning Rd (EB),,35.755029,-78.737097,0,1
1777,1271,Dillard Dr at Jones Franklin Rd (EB),,35.754032,-78.733557,0,1
12851,2056,Dillard Dr at Orabelle Ct,,35.751554,-78.725904,0,0
12849,2054,Tryon Rd at Gorman St (EB),,35.74816,-78.70071,0,0
11468,9805,Trailwood Dr at Tryon Rd,,35.748464,-78.695372,0,0
11192,9602,Trailwood Dr at Lineberry Dr,,35.75091,-78.69464,0,0
12846,2051,Trailwood Dr at Centennial Knoll Cir (NB),,35.75465,-78.69394,0,0
12844,2049,Trailwood at Walnut Creek Trail (NB),,35.76747,-78.69061,0,0
10458,8562,Avent Ferry Rd at Brigadoon Dr,,35.770564,-78.68811,0,0
10460,8564,Avent Ferry Rd at Centennial View Ln,,35.773296,-78.68317,0,0
12842,202,Varsity Dr at Capability Dr,,35.77487,-78.68006,0,0
12838,2047,"Partner's Way at Varsity Dr (NB)",,35.77275,-78.67474,0,0
12836,2044,Pullen Rd at Bilyeu St (NB),,35.77764,-78.66724,0,0
12834,9810,Pullen Rd at Cates Ave,,35.78143,-78.66665,0,0
12843,2042,Pullen Rd at Stinson Dr (NB),,35.78486,-78.66362,0,0
2016,1888,Zebulon Park-and-Ride,,35.8217,-78.3235,0,0
12755,2010,Pony Rd at Duggins Oak Dr (WB),,35.816768,-78.330028,0,0
2015,1890,E 4th St at Wendell Park-and-Ride,,35.78278,-78.36787,0,0
12753,2008,Wendell Falls Pkwy at Martin Pond Rd (WB),,35.769468,-78.419372,0,0
12751,2006,Wendell Falls Pkwy at Taylor Rd (WB),,35.776136,-78.433061,0,0
11636,9923,New Bern Ave at WakeMed (across),,35.786435,-78.589186,0,0
10526,8654,E Edenton St at N Tarboro Rd,,35.780554,-78.622071,0,0
10534,8662,E Edenton St at N Wilmington St,,35.78122,-78.63778,0,0
1942,9674,Edenton St at Salisbury St (WB),,35.781328,-78.640255,0,1
12766,2017,Shiloh Glenn Dr at Lower Shiloh Way (WB),,35.86609,-78.83995,0,0
12764,2015,Shiloh Glenn Dr at Walmart (WB),,35.865891,-78.846247,0,0
12151,1253,Watkins Rd at Wake Tech RTP Campus (EB),,35.852111,-78.8395,0,1
12152,1254,Watkins Rd at Perimeter Park Dr (EB),,35.85097,-78.831586,0,1
12107,1325,McCrimmon Pkwy at Airport Blvd (EB),,35.848781,-78.827512,0,1
12862,2039,McCrimmon Pkwy at Spark View Dr,,35.847575,-78.820865,0,0
12110,1329,Evans Rd at Aviation Pkwy (WB),,35.832685,-78.813885,0,1
12112,1331,Weston Pkwy at Evans Rd (SB),,35.826047,-78.806548,0,1
12114,11266,Weston Pkwy at Shelton Dr (SB),,35.816719,-78.811804,0,1
12115,11270,Chapel Hill Rd at Summit Ridge Loop (EB),,35.812261,-78.818074,0,1
12116,11272,Chapel Hill Rd at Morrisville Pkwy (EB),,35.809797,-78.816458,0,1
12118,1339,Chapel Hill Rd at Market Center Dr (EB),,35.807895,-78.814297,0,1
12120,11284,Chapel Hill Rd at Maynard Rd (EB),,35.798396,-78.795663,0,1
12121,11286,Chapel Hill Rd at Boundary St (EB),,35.793596,-78.789785,0,1
